"x","y","year","env1","env2"
0,586,0,-2.1405152366509,-1.14859586265086
1,586,0,-2.13930507365543,-1.14879888800367
2,586,0,-2.13809491065996,-1.14900191335647
3,586,0,-2.13688474766449,-1.14920493870928
4,586,0,-2.13567458466902,-1.14940796406208
5,586,0,-2.13446442167355,-1.14961098941489
6,586,0,-2.13325425867808,-1.14981401476769
7,586,0,-2.13454065215078,-1.14870719627612
8,586,0,-2.13740336967334,-1.1467733432753
9,586,0,-2.1402660871959,-1.14483949027448
10,586,0,-2.14312880471847,-1.14290563727365
11,586,0,-2.14599152224103,-1.14097178427283
12,586,0,-2.14885423976359,-1.13903793127201
13,586,0,-2.15171695728615,-1.13710407827118
14,586,0,-2.15457967480871,-1.13517022527036
15,586,0,-2.15744239233127,-1.13323637226954
16,586,0,-2.16030510985384,-1.13130251926871
17,586,0,-2.16227104088705,-1.12986001011147
18,586,0,-2.16356356082022,-1.12878645878549
19,586,0,-2.16485608075339,-1.1277129074595
20,586,0,-2.16614860068656,-1.12663935613352
21,586,0,-2.16744112061973,-1.12556580480753
22,586,0,-2.1687336405529,-1.12449225348154
23,586,0,-2.17002616048607,-1.12341870215556
24,586,0,-2.17131868041924,-1.12234515082957
25,586,0,-2.17261120035241,-1.12127159950359
26,586,0,-2.17390372028558,-1.1201980481776
0,585,0,-2.13278223804734,-1.14991342819336
1,585,0,-2.13150023823248,-1.15017195688003
2,585,0,-2.13021823841761,-1.1504304855667
3,585,0,-2.12893623860274,-1.15068901425336
4,585,0,-2.12765423878787,-1.15094754294003
5,585,0,-2.126372238973,-1.15120607162669
6,585,0,-2.12509023915813,-1.15146460031336
7,585,0,-2.12666154254078,-1.15024317556546
8,585,0,-2.13003441961469,-1.1480873092292
9,585,0,-2.13340729668859,-1.14593144289294
10,585,0,-2.1367801737625,-1.14377557655667
11,585,0,-2.14015305083641,-1.14161971022041
12,585,0,-2.14352592791031,-1.13946384388414
13,585,0,-2.14689880498423,-1.13730797754787
14,585,0,-2.15027168205813,-1.13515211121161
15,585,0,-2.15364455913204,-1.13299624487535
16,585,0,-2.15701743620595,-1.13084037853908
17,585,0,-2.1589525152219,-1.12939775326608
18,585,0,-2.15980792902952,-1.12849071194167
19,585,0,-2.16066334283714,-1.12758367061727
20,585,0,-2.16151875664476,-1.12667662929287
21,585,0,-2.16237417045238,-1.12576958796846
22,585,0,-2.16322958426,-1.12486254664406
23,585,0,-2.16408499806761,-1.12395550531965
24,585,0,-2.16494041187523,-1.12304846399525
25,585,0,-2.16579582568285,-1.12214142267084
26,585,0,-2.16665123949047,-1.12123438134644
0,584,0,-2.12504923944379,-1.15123099373586
1,584,0,-2.12369540280953,-1.15154502575639
2,584,0,-2.12234156617526,-1.15185905777691
3,584,0,-2.12098772954099,-1.15217308979744
4,584,0,-2.11963389290672,-1.15248712181797
5,584,0,-2.11828005627246,-1.15280115383849
6,584,0,-2.11692621963819,-1.15311518585902
7,584,0,-2.11878243293079,-1.15177915485481
8,584,0,-2.12266546955604,-1.1494012751831
9,584,0,-2.12654850618129,-1.1470233955114
10,584,0,-2.13043154280655,-1.14464551583969
11,584,0,-2.1343145794318,-1.14226763616798
12,584,0,-2.13819761605704,-1.13988975649628
13,584,0,-2.1420806526823,-1.13751187682457
14,584,0,-2.14596368930755,-1.13513399715286
15,584,0,-2.1498467259328,-1.13275611748116
16,584,0,-2.15372976255806,-1.13037823780945
17,584,0,-2.15563398955675,-1.12893549642068
18,584,0,-2.15605229723882,-1.12819496509786
19,584,0,-2.15647060492089,-1.12745443377504
20,584,0,-2.15688891260296,-1.12671390245222
21,584,0,-2.15730722028503,-1.12597337112939
22,584,0,-2.1577255279671,-1.12523283980657
23,584,0,-2.15814383564916,-1.12449230848375
24,584,0,-2.15856214333123,-1.12375177716093
25,584,0,-2.1589804510133,-1.1230112458381
26,584,0,-2.15939875869537,-1.12227071451528
