"x","y","year","env1","env2"
0,586,0,-1.39919721509836,-1.14859586265086
1,586,0,-1.39798705210289,-1.14879888800367
2,586,0,-1.39677688910742,-1.14900191335647
3,586,0,-1.39556672611195,-1.14920493870928
4,586,0,-1.39435656311648,-1.14940796406208
5,586,0,-1.39314640012101,-1.14961098941489
6,586,0,-1.39193623712554,-1.14981401476769
7,586,0,-1.39322263059824,-1.14870719627612
8,586,0,-1.3960853481208,-1.1467733432753
9,586,0,-1.39894806564336,-1.14483949027448
10,586,0,-1.40181078316593,-1.14290563727365
11,586,0,-1.40467350068849,-1.14097178427283
12,586,0,-1.40753621821105,-1.13903793127201
13,586,0,-1.41039893573361,-1.13710407827118
14,586,0,-1.41326165325617,-1.13517022527036
15,586,0,-1.41612437077873,-1.13323637226954
16,586,0,-1.4189870883013,-1.13130251926871
17,586,0,-1.42095301933451,-1.12986001011147
18,586,0,-1.42224553926768,-1.12878645878549
19,586,0,-1.42353805920085,-1.1277129074595
20,586,0,-1.42483057913402,-1.12663935613352
21,586,0,-1.42612309906719,-1.12556580480753
22,586,0,-1.42741561900036,-1.12449225348154
23,586,0,-1.42870813893353,-1.12341870215556
24,586,0,-1.4300006588667,-1.12234515082957
25,586,0,-1.43129317879987,-1.12127159950359
26,586,0,-1.43258569873304,-1.1201980481776
0,585,0,-1.3914642164948,-1.14991342819336
1,585,0,-1.39018221667994,-1.15017195688003
2,585,0,-1.38890021686507,-1.1504304855667
3,585,0,-1.3876182170502,-1.15068901425336
4,585,0,-1.38633621723533,-1.15094754294003
5,585,0,-1.38505421742046,-1.15120607162669
6,585,0,-1.38377221760559,-1.15146460031336
7,585,0,-1.38534352098824,-1.15024317556546
8,585,0,-1.38871639806215,-1.1480873092292
9,585,0,-1.39208927513605,-1.14593144289294
10,585,0,-1.39546215220996,-1.14377557655667
11,585,0,-1.39883502928387,-1.14161971022041
12,585,0,-1.40220790635777,-1.13946384388414
13,585,0,-1.40558078343168,-1.13730797754787
14,585,0,-1.40895366050559,-1.13515211121161
15,585,0,-1.41232653757949,-1.13299624487535
16,585,0,-1.4156994146534,-1.13084037853908
17,585,0,-1.41763449366936,-1.12939775326608
18,585,0,-1.41848990747698,-1.12849071194167
19,585,0,-1.4193453212846,-1.12758367061727
20,585,0,-1.42020073509222,-1.12667662929287
